Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
TCO14 Round 3A	6	268.53	300	2014-07-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16050
TCO14 Round 3A	6	284.91	500	2014-07-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16050
TCO14 Round 3A	6	0.0	1000	2014-07-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16050
TCO14 Round 3B	6	217.76	250	2014-08-09 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16058
TCO14 Round 3B	6	0.0	500	2014-08-09 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16058
TCO14 Round 3B	6	0.0	1000	2014-08-09 12:00	http://community.topcoder.com/stat?c=round_overview&er=6&rd=16058
SRM 629	20	245.63	250	2014-08-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16060
SRM 629	20	473.38	550	2014-08-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16060
SRM 629	20	0.0	950	2014-08-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16060
SRM 630	20	245.15	250	2014-08-21 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16061
SRM 630	20	450.48	500	2014-08-21 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16061
SRM 630	20	456.01	1000	2014-08-21 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16061
SRM 631	20	382.52	500	2014-08-30 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16062
SRM 631	20	397.83	500?	2014-08-30 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16062
SRM 631	20	530.02	1000	2014-08-30 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16062
SRM 632 - TCO14 Wildcard Sweep	20	272.17	300	2014-09-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16075
SRM 632 - TCO14 Wildcard Sweep	20	465.41	500	2014-09-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16075
SRM 632 - TCO14 Wildcard Sweep	20	562.43	1000	2014-09-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16075
SRM 633	20	232.97	250	2014-09-17 11:15	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16076
SRM 633	20	390.85	600	2014-09-17 11:15	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16076
SRM 633	20	0.0	1000	2014-09-17 11:15	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16076
SRM 634	20	247.02	250	2014-09-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16077
SRM 634	20	466.68	500	2014-09-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16077
SRM 634	20	0.0	1000	2014-09-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16077
SRM 635	20	248.09	250	2014-10-04 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16078
SRM 635	20	483.79	500	2014-10-04 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16078
SRM 635	20	456.41	1000	2014-10-04 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16078
SRM 636	20	241.49	250	2014-10-14 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16079
SRM 636	20	422.71	500	2014-10-14 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16079
SRM 636	20	0.0	1000	2014-10-14 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16079
SRM 637	20	249.27	250	2014-10-23 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16080
SRM 637	20	421.96	500	2014-10-23 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16080
SRM 637	20	0.0	1000	2014-10-23 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16080
SRM 638	20	247.5	300	2014-11-02 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16081
SRM 638	20	486.83	600	2014-11-02 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16081
SRM 638	20	0.0	1000	2014-11-02 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16081
TCO 2014 Celebrity Match	8	0.0	250	2014-11-16 22:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16191
TCO 2014 Celebrity Match	8	0.0	450	2014-11-16 22:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16191
TCO 2014 Celebrity Match	8	0.0	1000?	2014-11-16 22:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16191
TCO 2014 Semifinal 1	12	0.0	250?	2014-11-18 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16187
TCO 2014 Semifinal 1	12	0.0	500?	2014-11-18 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16187
TCO 2014 Semifinal 1	11	0.0	1000?	2014-11-18 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16187
TCO 2014 Semifinal 2	11	0.0	250?	2014-11-18 16:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16188
TCO 2014 Semifinal 2	11	0.0	500?	2014-11-18 16:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16188
TCO 2014 Semifinal 2	11	0.0	1000?	2014-11-18 16:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16188
TCO 2014 Wildcard	8	0.0	295	2014-11-18 21:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16189
TCO 2014 Wildcard	8	0.0	500?	2014-11-18 21:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16189
